city,Bookings_per_Month,Month
Bangalore,155,January
Bangalore,132,February
Bangalore,171,March
Chennai,38,January
Chennai,29,February
Chennai,26,March
Delhi,214,January
Delhi,183,February
Delhi,155,March
Gurgaon,301,January
Gurgaon,261,February
Gurgaon,256,March
Hyderabad,33,January
Hyderabad,27,February
Hyderabad,47,March
Jaipur,33,January
Jaipur,32,February
Jaipur,34,March
Kolkata,6,January
Kolkata,6,February
Kolkata,9,March
Mumbai,44,January
Mumbai,46,February
Mumbai,48,March
Noida,78,January
Noida,69,February
Noida,74,March
Pune,13,January
Pune,54,February
Pune,46,March
