booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking
1,189314,Cancelled,2017-02-04,2017-02-05,1,252,3160,669,2017-01-31
2,46268,Cancelled,2017-01-27,2017-01-28,1,252,1893,481,2017-01-27
3,55271,Stayed,2017-01-25,2017-01-26,1,252,2188,463,2017-01-25
4,170766,Cancelled,2017-01-26,2017-01-27,1,252,3054,646,2017-01-26
5,170766,Cancelled,2017-01-26,2017-01-28,1,252,6107,1293,2017-01-25
6,170766,Cancelled,2017-01-26,2017-01-29,1,252,9614,2441,2017-01-23
7,182276,Stayed,2017-01-24,2017-01-25,1,252,1980,436,2017-01-24
8,74628,Cancelled,2017-02-09,2017-02-10,1,252,3054,646,2017-01-10
9,122584,Stayed,2017-02-06,2017-02-08,1,571,10397,2200,2017-01-25
10,170174,Cancelled,2017-02-14,2017-02-16,1,571,8967,1898,2017-01-28
11,77745,Stayed,2017-01-03,2017-01-04,1,571,4679,1188,2017-01-03
12,77745,Cancelled,2017-01-03,2017-01-04,1,571,4679,1188,2017-01-03
13,77745,Cancelled,2017-01-03,2017-01-04,1,571,4679,1188,2017-01-03
14,55369,Cancelled,2017-02-13,2017-02-15,1,109,7927,1678,2017-01-06
15,42531,Stayed,2017-01-09,2017-01-10,1,109,1949,1100,2017-01-09
16,60231,Stayed,2017-01-08,2017-01-09,1,109,1949,1100,2017-01-08
17,66762,Stayed,2017-01-07,2017-01-08,1,109,3509,743,2017-01-01
18,161206,Stayed,2017-01-03,2017-01-04,1,109,2859,605,2017-01-02
19,3452,Stayed,2017-02-10,2017-02-12,1,88,5977,1265,2017-01-31
20,193036,Cancelled,2017-02-10,2017-02-13,1,88,9075,1920,2017-01-15
21,193036,Cancelled,2017-02-08,2017-02-12,1,88,12100,2560,2017-01-14
22,42387,Stayed,2017-01-24,2017-01-25,1,88,2474,524,2017-01-23
23,42387,Stayed,2017-01-22,2017-01-24,1,88,4802,1016,2017-01-16
24,151804,Cancelled,2017-01-21,2017-01-22,1,88,3236,684,2017-01-21
25,62642,Stayed,2017-01-19,2017-01-21,1,88,5002,1058,2017-01-19
26,127850,Cancelled,2017-01-14,2017-01-15,1,88,1905,403,2017-01-14
27,193036,Stayed,2017-01-11,2017-01-13,1,88,6092,1289,2017-01-09
28,42387,Stayed,2017-01-09,2017-01-11,1,88,4077,1035,2017-01-03
29,68800,Cancelled,2017-01-04,2017-01-06,1,88,6510,1652,2017-01-03
30,148431,Stayed,2017-01-07,2017-01-08,1,755,4224,1073,2017-01-07
31,120371,Stayed,2017-01-02,2017-01-03,1,755,3184,809,2017-01-02
32,98294,Stayed,2017-01-31,2017-02-01,1,859,1949,413,2017-01-31
33,172653,Cancelled,2017-01-15,2017-01-16,1,859,1689,358,2017-01-15
34,49442,Stayed,2017-01-05,2017-01-06,1,859,2144,545,2017-01-05
35,112916,Stayed,2017-01-26,2017-01-28,1,232,7093,1500,2017-01-22
36,78646,Stayed,2017-01-27,2017-01-28,1,232,2903,614,2017-01-26
37,46608,Stayed,2017-01-22,2017-01-23,1,232,3271,831,2017-01-22
38,169327,Stayed,2017-01-20,2017-01-22,1,232,6482,1372,2017-01-16
39,88392,Stayed,2017-01-13,2017-01-16,1,232,9676,2047,2017-01-09
40,119048,Cancelled,2017-01-07,2017-01-08,1,232,3227,820,2017-01-07
41,145504,Stayed,2017-01-03,2017-01-05,1,232,3510,891,2017-01-02
42,154473,Stayed,2017-01-21,2017-01-22,1,195,2924,743,2017-01-20
43,108129,Stayed,2017-01-21,2017-01-22,1,195,2534,536,2017-01-21
44,78914,Stayed,2017-01-31,2017-02-01,1,401,2209,468,2017-01-28
45,24582,Stayed,2017-01-13,2017-01-14,1,152,1949,413,2017-01-10
46,127850,Stayed,2017-01-14,2017-01-15,1,194,2404,508,2017-01-14
47,148431,Stayed,2017-01-05,2017-01-06,1,684,2794,710,2017-01-05
48,164024,Stayed,2017-01-04,2017-01-05,1,160,2924,767,2017-01-04
49,17344,Stayed,2017-02-09,2017-02-11,1,486,4352,921,2017-01-26
50,171463,Stayed,2017-02-01,2017-02-04,1,486,7016,1484,2017-01-27
51,71382,Stayed,2017-01-31,2017-02-02,1,486,4872,1071,2017-01-25
52,190191,Stayed,2017-01-22,2017-01-24,1,486,4287,943,2017-01-18
53,190191,Stayed,2017-01-19,2017-01-21,1,486,4157,914,2017-01-18
54,127850,Cancelled,2017-01-21,2017-01-22,1,486,2469,523,2017-01-17
55,148274,Stayed,2017-01-16,2017-01-18,1,486,4547,963,2017-01-09
56,71382,Stayed,2017-01-12,2017-01-14,1,486,4287,943,2017-01-11
57,89928,Stayed,2017-01-06,2017-01-07,2,486,5067,1286,2017-01-04
58,192162,Stayed,2017-01-16,2017-01-17,1,153,2339,594,2017-01-16
